調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈
2015100000,2015年度,1100,北海道 札幌市,,1952356,
2015100000,2015年度,1101,北海道 札幌市 中央区,,237627,
2015100000,2015年度,1102,北海道 札幌市 北区,,285321,
2015100000,2015年度,1103,北海道 札幌市 東区,,261912,
2015100000,2015年度,1104,北海道 札幌市 白石区,,209584,
2015100000,2015年度,1105,北海道 札幌市 豊平区,,218652,
2015100000,2015年度,1106,北海道 札幌市 南区,,141190,
2015100000,2015年度,1107,北海道 札幌市 西区,,213578,
2015100000,2015年度,1108,北海道 札幌市 厚別区,,127767,
2015100000,2015年度,1109,北海道 札幌市 手稲区,,140999,
2015100000,2015年度,1110,北海道 札幌市 清田区,,115726,
2015100000,2015年度,1202,北海道 函館市,,265979,
2015100000,2015年度,1203,北海道 小樽市,,121924,
2015100000,2015年度,1204,北海道 旭川市,,339605,
2015100000,2015年度,1205,北海道 室蘭市,,88564,
2015100000,2015年度,1206,北海道 釧路市,,174742,
2015100000,2015年度,1207,北海道 帯広市,,169327,
2015100000,2015年度,1208,北海道 北見市,,121226,
2015100000,2015年度,1209,北海道 夕張市,,8843,
2015100000,2015年度,1210,北海道 岩見沢市,,84499,
2015100000,2015年度,1211,北海道 網走市,,39077,
2015100000,2015年度,1212,北海道 留萌市,,22221,
2015100000,2015年度,1213,北海道 苫小牧市,,172737,
2015100000,2015年度,1214,北海道 稚内市,,36380,
2015100000,2015年度,1215,北海道 美唄市,,23035,
2015100000,2015年度,1216,北海道 芦別市,,14676,
2015100000,2015年度,1217,北海道 江別市,,120636,
2015100000,2015年度,1218,北海道 赤平市,,11105,
2015100000,2015年度,1219,北海道 紋別市,,23109,
2015100000,2015年度,1220,北海道 士別市,,19914,
2015100000,2015年度,1221,北海道 名寄市,,29048,
2015100000,2015年度,1222,北海道 三笠市,,9076,
2015100000,2015年度,1223,北海道 根室市,,26917,
2015100000,2015年度,1224,北海道 千歳市,,95648,
2015100000,2015年度,1225,北海道 滝川市,,41192,
2015100000,2015年度,1226,北海道 砂川市,,17694,
2015100000,2015年度,1227,北海道 歌志内市,,3585,
2015100000,2015年度,1228,北海道 深川市,,21909,
2015100000,2015年度,1229,北海道 富良野市,,22936,
2015100000,2015年度,1230,北海道 登別市,,49625,
2015100000,2015年度,1231,北海道 恵庭市,,69702,
2015100000,2015年度,1233,北海道 伊達市,,34995,
2015100000,2015年度,1234,北海道 北広島市,,59064,
2015100000,2015年度,1235,北海道 石狩市,,57436,
2015100000,2015年度,1236,北海道 北斗市,,46390,
2015100000,2015年度,1303,北海道 当別町,,17278,
2015100000,2015年度,1304,北海道 新篠津村,,3329,
2015100000,2015年度,1331,北海道 松前町,,7337,
2015100000,2015年度,1332,北海道 福島町,,4422,
2015100000,2015年度,1333,北海道 知内町,,4653,
2015100000,2015年度,1334,北海道 木古内町,,4547,
2015100000,2015年度,1337,北海道 七飯町,,28120,
2015100000,2015年度,1343,北海道 鹿部町,,4226,
2015100000,2015年度,1345,北海道 森町,,15946,
2015100000,2015年度,1346,北海道 八雲町,,17252,
2015100000,2015年度,1347,北海道 長万部町,,5926,
2015100000,2015年度,1361,北海道 江差町,,8248,
2015100000,2015年度,1362,北海道 上ノ国町,,4876,
2015100000,2015年度,1363,北海道 厚沢部町,,4049,
2015100000,2015年度,1364,北海道 乙部町,,3906,
2015100000,2015年度,1367,北海道 奥尻町,,2690,
2015100000,2015年度,1370,北海道 今金町,,5628,
2015100000,2015年度,1371,北海道 せたな町,,8473,
2015100000,2015年度,1391,北海道 島牧村,,1499,
2015100000,2015年度,1392,北海道 寿都町,,3137,
2015100000,2015年度,1393,北海道 黒松内町,,3082,
2015100000,2015年度,1394,北海道 蘭越町,,4843,
2015100000,2015年度,1395,北海道 ニセコ町,,4958,
2015100000,2015年度,1396,北海道 真狩村,,2103,
2015100000,2015年度,1397,北海道 留寿都村,,1907,
2015100000,2015年度,1398,北海道 喜茂別町,,2294,
2015100000,2015年度,1399,北海道 京極町,,3187,
2015100000,2015年度,1400,北海道 倶知安町,,15018,
